latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,type,species,sumAtRisk,sumCases,sumDeaths
48.59143,21.061641,Europe,Slovakia,Kosice,Cecejovce,Exact,04-15-2017,04-21-2017,Confirmed,Influenza - Avian,Domestic, Chicken,15,15,15
23.739926,120.242686,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Unknown,04-14-2017,05-01-2017,Confirmed,Influenza - Avian,Domestic, Chicken,8066,2500,2500
23.40648,120.20542,Asia,Taiwan (Province of China),Taiwan Sheng,Budai Township,Exact,04-11-2017,05-08-2017,Confirmed,Influenza - Avian,Domestic, Chicken,6088,0,0
23.673214,120.612319,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,04-10-2017,06-16-2017,Confirmed,Influenza - Avian,Domestic, Chicken,28000,2500,2500
23.219938,120.270578,Asia,Taiwan (Province of China),Taiwan Sheng,Xiaying Distrct,Exact,04-07-2017,06-16-2017,Confirmed,Influenza - Avian,Domestic, Chicken,21834,534,534
44.4209,11.799384,Europe,Italy,Emilia-romagna,Mordano,Exact,04-07-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,130773,50000,727
23.686515,120.279682,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,04-05-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,11500,1253,1253
23.739512,120.239687,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,04-05-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,10277,0,0
23.688737,120.267855,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,04-05-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,11479,80,80
9.053006,10.1694,Africa,Nigeria,Plateau,Toro,Exact,04-05-2017,04-10-2017,Confirmed,Influenza - Avian,Domestic, Chicken,1500,46,46
23.439368,120.263621,Asia,Taiwan (Province of China),Taiwan Sheng,Puzi City,Exact,04-03-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,24602,180,180
23.739437,120.225918,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,04-03-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,28743,300,300
36.08919,126.97563,Asia,Republic of Korea,Chollabuk-do,Iksan-si,Exact,04-02-2017,05-12-2017,Confirmed,Influenza - Avian,Domestic, Chicken,33150,150,150
36.08919,126.97563,Asia,Republic of Korea,Chollabuk-do,Iksan-si,Exact,04-02-2017,04-14-2017,Confirmed,Influenza - Avian,Domestic, Chicken,33150,150,150
9.020047,10.158586,Africa,Nigeria,Plateau,Toro,Exact,04-02-2017,04-10-2017,Confirmed,Influenza - Avian,Domestic, Chicken,1130,216,216
22.633621,120.364069,Asia,Taiwan (Province of China),Taiwan Sheng,Fengshan District,Exact,04-01-2017,04-11-2017,Confirmed,Influenza - Avian,Domestic, Chicken,36,7,7
